id,original_text,gold,system,output,semantic_group,reading_style,ambiguity_cluster,automatic_mismatch_type,manual_review_needed,note
cardinal_014,Hệ thống ghi nhận 1.005 yêu cầu.,Hệ thống ghi nhận một nghìn không trăm linh năm yêu cầu.,num2words_vi,Hệ thống ghi nhận một.năm yêu cầu.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_014,Hệ thống ghi nhận 1.005 yêu cầu.,Hệ thống ghi nhận một nghìn không trăm linh năm yêu cầu.,vietnormalizer,hệ thống ghi nhận một nghìn không trăm lẻ năm yêu cầu.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_014,Hệ thống ghi nhận 1.005 yêu cầu.,Hệ thống ghi nhận một nghìn không trăm linh năm yêu cầu.,soe_vinorm,Hệ thống ghi nhận một nghìn không trăm linh năm yêu cầu .,,,cluster_unknown,formatting_only,False,
cardinal_015,Nhà máy sản xuất 1.015 linh kiện.,Nhà máy sản xuất một nghìn không trăm mười lăm linh kiện.,current_rule,Nhà máy sản xuất 1.015 linh kiện.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_015,Nhà máy sản xuất 1.015 linh kiện.,Nhà máy sản xuất một nghìn không trăm mười lăm linh kiện.,num2words_vi,Nhà máy sản xuất một.mười lăm linh kiện.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_015,Nhà máy sản xuất 1.015 linh kiện.,Nhà máy sản xuất một nghìn không trăm mười lăm linh kiện.,vietnormalizer,nhà máy sản xuất một nghìn không trăm mười lăm linh kiện.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_015,Nhà máy sản xuất 1.015 linh kiện.,Nhà máy sản xuất một nghìn không trăm mười lăm linh kiện.,soe_vinorm,Nhà máy sản xuất một nghìn không trăm mười lăm linh kiện .,,,cluster_unknown,formatting_only,False,
cardinal_016,Thành phố trồng thêm 10.001 cây xanh.,Thành phố trồng thêm mười nghìn không trăm linh một cây xanh.,current_rule,Thành phố trồng thêm 10.001 cây xanh.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_016,Thành phố trồng thêm 10.001 cây xanh.,Thành phố trồng thêm mười nghìn không trăm linh một cây xanh.,num2words_vi,Thành phố trồng thêm mười.một cây xanh.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_016,Thành phố trồng thêm 10.001 cây xanh.,Thành phố trồng thêm mười nghìn không trăm linh một cây xanh.,vietnormalizer,thành phố trồng thêm mười nghìn không trăm lẻ một cây xanh.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_016,Thành phố trồng thêm 10.001 cây xanh.,Thành phố trồng thêm mười nghìn không trăm linh một cây xanh.,soe_vinorm,Thành phố trồng thêm mười nghìn không trăm linh một cây xanh .,,,cluster_unknown,formatting_only,False,
cardinal_017,Sân vận động có 10.500 chỗ ngồi.,Sân vận động có mười nghìn năm trăm chỗ ngồi.,current_rule,Sân vận động có 10.500 chỗ ngồi.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_017,Sân vận động có 10.500 chỗ ngồi.,Sân vận động có mười nghìn năm trăm chỗ ngồi.,num2words_vi,Sân vận động có mười.năm trăm chỗ ngồi.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_017,Sân vận động có 10.500 chỗ ngồi.,Sân vận động có mười nghìn năm trăm chỗ ngồi.,vietnormalizer,sân vận động có mười nghìn năm trăm chỗ ngồi.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_017,Sân vận động có 10.500 chỗ ngồi.,Sân vận động có mười nghìn năm trăm chỗ ngồi.,soe_vinorm,Sân vận động có mười nghìn năm trăm chỗ ngồi .,,,cluster_unknown,formatting_only,False,
cardinal_018,Ứng dụng đạt 1.000.000 lượt tải.,Ứng dụng đạt một triệu lượt tải.,current_rule,Ứng dụng đạt 1.000.000 lượt tải.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_018,Ứng dụng đạt 1.000.000 lượt tải.,Ứng dụng đạt một triệu lượt tải.,num2words_vi,Ứng dụng đạt một.không.không lượt tải.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_018,Ứng dụng đạt 1.000.000 lượt tải.,Ứng dụng đạt một triệu lượt tải.,vietnormalizer,ứng dụng đạt một triệu lượt tải.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_018,Ứng dụng đạt 1.000.000 lượt tải.,Ứng dụng đạt một triệu lượt tải.,soe_vinorm,Ứng dụng đạt một triệu lượt tải .,,,cluster_unknown,formatting_only,False,
cardinal_019,Dân số khu vực là 1.234.567 người.,Dân số khu vực là một triệu hai trăm ba mươi tư nghìn năm trăm sáu mươi bảy người.,current_rule,Dân số khu vực là 1.234.567 người.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_019,Dân số khu vực là 1.234.567 người.,Dân số khu vực là một triệu hai trăm ba mươi tư nghìn năm trăm sáu mươi bảy người.,num2words_vi,Dân số khu vực là một.hai trăm ba mươi bốn.năm trăm sáu mươi bảy người.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_019,Dân số khu vực là 1.234.567 người.,Dân số khu vực là một triệu hai trăm ba mươi tư nghìn năm trăm sáu mươi bảy người.,vietnormalizer,dân số khu vực là một triệu hai trăm ba mươi tư nghìn năm trăm sáu mươi bảy người.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_019,Dân số khu vực là 1.234.567 người.,Dân số khu vực là một triệu hai trăm ba mươi tư nghìn năm trăm sáu mươi bảy người.,soe_vinorm,Dân số khu vực là một triệu hai trăm ba mươi tư nghìn năm trăm sáu mươi bảy người .,,,cluster_unknown,formatting_only,False,
cardinal_020,Tài khoản đang có số dư âm 125 điểm.,Tài khoản đang có số dư âm một trăm hai lăm điểm.,current_rule,Tài khoản đang có số dư âm một trăm hai mươi lăm đồngiểm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_020,Tài khoản đang có số dư âm 125 điểm.,Tài khoản đang có số dư âm một trăm hai lăm điểm.,num2words_vi,Tài khoản đang có số dư âm một trăm hai mươi lăm điểm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_020,Tài khoản đang có số dư âm 125 điểm.,Tài khoản đang có số dư âm một trăm hai lăm điểm.,vietnormalizer,tài khoản đang có số dư âm một trăm hai mươi lăm điểm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
cardinal_020,Tài khoản đang có số dư âm 125 điểm.,Tài khoản đang có số dư âm một trăm hai lăm điểm.,soe_vinorm,Tài khoản đang có số dư âm một trăm hai mươi lăm điểm .,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_001,"Xác suất bằng 0,5.",Xác suất bằng không phẩy năm.,current_rule,"Xác suất bằng 0,5.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_001,"Xác suất bằng 0,5.",Xác suất bằng không phẩy năm.,num2words_vi,"Xác suất bằng không,năm.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_001,"Xác suất bằng 0,5.",Xác suất bằng không phẩy năm.,vietnormalizer,xác suất bằng không phẩy năm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_001,"Xác suất bằng 0,5.",Xác suất bằng không phẩy năm.,soe_vinorm,Xác suất bằng không phẩy năm .,,,cluster_unknown,formatting_only,False,
decimal_math_002,"Kết quả đo là 1,05.",Kết quả đo là một phẩy không năm.,current_rule,"Kết quả đo là 1,05.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_002,"Kết quả đo là 1,05.",Kết quả đo là một phẩy không năm.,num2words_vi,"Kết quả đo là một,năm.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_002,"Kết quả đo là 1,05.",Kết quả đo là một phẩy không năm.,vietnormalizer,kết quả đo là một phẩy năm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_002,"Kết quả đo là 1,05.",Kết quả đo là một phẩy không năm.,soe_vinorm,Kết quả đo là một phẩy không năm .,,,cluster_unknown,formatting_only,False,
decimal_math_003,"Giá trị trung bình là 12,04.",Giá trị trung bình là mười hai phẩy không bốn.,current_rule,"Giá trị trung bình là 12,04.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_003,"Giá trị trung bình là 12,04.",Giá trị trung bình là mười hai phẩy không bốn.,num2words_vi,"Giá trị trung bình là mười hai,bốn.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_003,"Giá trị trung bình là 12,04.",Giá trị trung bình là mười hai phẩy không bốn.,vietnormalizer,giá trị trung bình là mười hai phẩy bốn.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_003,"Giá trị trung bình là 12,04.",Giá trị trung bình là mười hai phẩy không bốn.,soe_vinorm,Giá trị trung bình là mười hai phẩy không bốn .,,,cluster_unknown,formatting_only,False,
decimal_math_004,"Nghiệm của phương trình là -3,5.",Nghiệm của phương trình là âm ba phẩy năm.,current_rule,"Nghiệm của phương trình là -3,5.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_004,"Nghiệm của phương trình là -3,5.",Nghiệm của phương trình là âm ba phẩy năm.,num2words_vi,"Nghiệm của phương trình là -ba,năm.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_004,"Nghiệm của phương trình là -3,5.",Nghiệm của phương trình là âm ba phẩy năm.,vietnormalizer,nghiệm của phương trình là -ba phẩy năm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_004,"Nghiệm của phương trình là -3,5.",Nghiệm của phương trình là âm ba phẩy năm.,soe_vinorm,Nghiệm của phương trình là trừ ba phẩy năm .,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_005,"Sai số hiệu chỉnh là +2,5.",Sai số hiệu chỉnh là dương hai phẩy năm.,current_rule,"Sai số hiệu chỉnh là +2,5.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_005,"Sai số hiệu chỉnh là +2,5.",Sai số hiệu chỉnh là dương hai phẩy năm.,num2words_vi,"Sai số hiệu chỉnh là +hai,năm.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_005,"Sai số hiệu chỉnh là +2,5.",Sai số hiệu chỉnh là dương hai phẩy năm.,vietnormalizer,sai số hiệu chỉnh là +hai phẩy năm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_005,"Sai số hiệu chỉnh là +2,5.",Sai số hiệu chỉnh là dương hai phẩy năm.,soe_vinorm,Sai số hiệu chỉnh là cộng hai phẩy năm .,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_006,"Tổng doanh thu là 1.234,56 triệu đồng.",Tổng doanh thu là một nghìn hai trăm ba mươi tư phẩy năm sáu triệu đồng.,current_rule,"Tổng doanh thu là 1.234,năm mươi sáu triệu đồng.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_006,"Tổng doanh thu là 1.234,56 triệu đồng.",Tổng doanh thu là một nghìn hai trăm ba mươi tư phẩy năm sáu triệu đồng.,num2words_vi,"Tổng doanh thu là một.hai trăm ba mươi bốn,năm mươi sáu triệu đồng.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_006,"Tổng doanh thu là 1.234,56 triệu đồng.",Tổng doanh thu là một nghìn hai trăm ba mươi tư phẩy năm sáu triệu đồng.,vietnormalizer,tổng doanh thu là một.hai trăm ba mươi tư phẩy năm mươi sáu triệu đồng.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_006,"Tổng doanh thu là 1.234,56 triệu đồng.",Tổng doanh thu là một nghìn hai trăm ba mươi tư phẩy năm sáu triệu đồng.,soe_vinorm,Tổng doanh thu là một nghìn hai trăm ba mươi tư phẩy năm sáu triệu đồng .,,,cluster_unknown,formatting_only,False,
decimal_math_007,"Hằng số pi xấp xỉ 3,14159.",Hằng số pi xấp xỉ ba phẩy một bốn một năm chín.,current_rule,"Hằng số pi xấp xỉ 3,14159.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_007,"Hằng số pi xấp xỉ 3,14159.",Hằng số pi xấp xỉ ba phẩy một bốn một năm chín.,num2words_vi,"Hằng số pi xấp xỉ ba,mười bốn nghìn một trăm năm mươi chín.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_007,"Hằng số pi xấp xỉ 3,14159.",Hằng số pi xấp xỉ ba phẩy một bốn một năm chín.,vietnormalizer,hằng số pi xấp xỉ ba phẩy mười bốn nghìn một trăm năm mươi chín.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_007,"Hằng số pi xấp xỉ 3,14159.",Hằng số pi xấp xỉ ba phẩy một bốn một năm chín.,soe_vinorm,Hằng số pi xấp xỉ ba phẩy một bốn một năm chín .,,,cluster_unknown,formatting_only,False,
decimal_math_008,Một triệu có thể viết là 10^6.,Một triệu có thể viết là mười mũ sáu.,current_rule,Một triệu có thể viết là mười^sáu.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_008,Một triệu có thể viết là 10^6.,Một triệu có thể viết là mười mũ sáu.,num2words_vi,Một triệu có thể viết là mười^sáu.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_008,Một triệu có thể viết là 10^6.,Một triệu có thể viết là mười mũ sáu.,vietnormalizer,một triệu có thể viết là một trăm lẻ sáu.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_008,Một triệu có thể viết là 10^6.,Một triệu có thể viết là mười mũ sáu.,soe_vinorm,Một triệu có thể viết là mười mũ sáu .,,,cluster_unknown,formatting_only,False,
decimal_math_009,Diện tích hình vuông được tính bằng 2².,Diện tích hình vuông được tính bằng hai bình phương.,current_rule,Diện tích hình vuông được tính bằng 2².,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_009,Diện tích hình vuông được tính bằng 2².,Diện tích hình vuông được tính bằng hai bình phương.,num2words_vi,Diện tích hình vuông được tính bằng hai².,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_009,Diện tích hình vuông được tính bằng 2².,Diện tích hình vuông được tính bằng hai bình phương.,vietnormalizer,diện tích hình vuông được tính bằng 2².,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_009,Diện tích hình vuông được tính bằng 2².,Diện tích hình vuông được tính bằng hai bình phương.,soe_vinorm,Diện tích hình vuông được tính bằng hai .,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_010,Căn bậc hai của 2 là một số vô tỉ.,Căn bậc hai của hai là một số vô tỉ.,current_rule,Căn bậc hai của hai là một số vô tỉ.,,,cluster_unknown,exact,False,
decimal_math_010,Căn bậc hai của 2 là một số vô tỉ.,Căn bậc hai của hai là một số vô tỉ.,num2words_vi,Căn bậc hai của hai là một số vô tỉ.,,,cluster_unknown,exact,False,
decimal_math_010,Căn bậc hai của 2 là một số vô tỉ.,Căn bậc hai của hai là một số vô tỉ.,vietnormalizer,căn bậc hai của hai là một số vô tỉ.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_010,Căn bậc hai của 2 là một số vô tỉ.,Căn bậc hai của hai là một số vô tỉ.,soe_vinorm,Căn bậc hai của hai là một số vô tỉ .,,,cluster_unknown,formatting_only,False,
decimal_math_011,"Giá trị bằng 1,2×10^-3.",Giá trị bằng một phẩy hai nhân mười mũ âm ba.,current_rule,"Giá trị bằng 1,2×mười^âm ba.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_011,"Giá trị bằng 1,2×10^-3.",Giá trị bằng một phẩy hai nhân mười mũ âm ba.,num2words_vi,"Giá trị bằng một,hai×mười^-ba.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_011,"Giá trị bằng 1,2×10^-3.",Giá trị bằng một phẩy hai nhân mười mũ âm ba.,vietnormalizer,giá trị bằng một phẩy hai×mười tháng ba.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_011,"Giá trị bằng 1,2×10^-3.",Giá trị bằng một phẩy hai nhân mười mũ âm ba.,soe_vinorm,Giá trị bằng một phẩy hai mười mũ - ba .,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_012,Ta có 2 + 3 = 5.,Ta có hai cộng ba bằng năm.,current_rule,Ta có hai + ba = năm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_012,Ta có 2 + 3 = 5.,Ta có hai cộng ba bằng năm.,num2words_vi,Ta có hai + ba = năm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_012,Ta có 2 + 3 = 5.,Ta có hai cộng ba bằng năm.,vietnormalizer,ta có hai + ba = năm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_012,Ta có 2 + 3 = 5.,Ta có hai cộng ba bằng năm.,soe_vinorm,Ta có hai cộng ba bằng năm .,,,cluster_unknown,formatting_only,False,
decimal_math_013,"Phép tính 7 ÷ 2 = 3,5.",Phép tính bảy chia hai bằng ba phẩy năm.,current_rule,"Phép tính bảy ÷ hai = 3,5.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_013,"Phép tính 7 ÷ 2 = 3,5.",Phép tính bảy chia hai bằng ba phẩy năm.,num2words_vi,"Phép tính bảy ÷ hai = ba,năm.",,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_013,"Phép tính 7 ÷ 2 = 3,5.",Phép tính bảy chia hai bằng ba phẩy năm.,vietnormalizer,phép tính bảy ÷ hai = ba phẩy năm.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_013,"Phép tính 7 ÷ 2 = 3,5.",Phép tính bảy chia hai bằng ba phẩy năm.,soe_vinorm,Phép tính bảy hai bằng ba phẩy năm .,,,cluster_unknown,lexical_or_semantic_mismatch,True,
decimal_math_014,Biểu thức 4 : 2 = 2 rất đơn giản.,Biểu thức bốn chia hai bằng hai rất đơn giản.,current_rule,Biểu thức 4 : 2 = hai rất đơn giản.,,,cluster_unknown,lexical_or_semantic_mismatch,True,
