id,role,category,original_text,current_rule,best_existing,preferred_gold
location_route_009,ADDRESS,all automatic systems wrong,Cửa hàng ở số 12A đường Láng.,Cửa hàng ở số 12A đường Láng.,Cửa hàng ở số mười hai A đường Láng .,Cửa hàng ở số mười hai a đường Láng.
location_route_005,APARTMENT,all automatic systems wrong,Tôi sống ở căn hộ 1205.,Tôi sống ở căn hộ một nghìn hai trăm linh năm.,Tôi sống ở căn hộ một nghìn hai trăm linh năm .,Tôi sống ở căn hộ mười hai không năm.
location_route_006,APARTMENT,all automatic systems wrong,Căn P2-1508 đang được sửa chữa.,Căn P2-1508 đang được sửa chữa.,Căn Pê hai - một nghìn năm trăm linh tám đang được sửa chữa .,"Căn pê hai, mười lăm không tám đang được sửa chữa."
identifier_020,BATCH_ID,all automatic systems wrong,Lô sản xuất mang số 240701.,Lô sản xuất mang số hai trăm bốn mươi nghìn bảy trăm linh một.,Lô sản xuất mang số hai trăm bốn mươi nghìn bảy trăm linh một .,Lô sản xuất mang số hai bốn không bảy không một.
identifier_007,CARD_SUFFIX,all automatic systems wrong,Thẻ của bạn có bốn số cuối là 4821.,Thẻ của bạn có bốn số cuối là bốn nghìn tám trăm hai mươi mốt.,Thẻ của bạn có bốn số cuối là bốn nghìn tám trăm hai mươi mốt .,Thẻ của bạn có bốn số cuối là bốn tám hai một.
identifier_016,CLASS_ID,all automatic systems wrong,Tôi học lớp 12A1.,Tôi học lớp 12A1.,Tôi học lớp mười hai A một .,Tôi học lớp mười hai a một.
year_date_010,DATE,all automatic systems wrong,Hóa đơn được lập ngày 9-1-2021.,Hóa đơn được lập ngày chín tháng một năm hai nghìn không trăm hai mươi mốt.,Hóa đơn được lập ngày chín tháng một năm hai nghìn không trăm hai mươi mốt .,Hóa đơn được lập ngày mùng chín tháng một năm hai nghìn không trăm hai mươi mốt.
identifier_006,ACCOUNT_NUMBER,systems disagree,Số tài khoản là 0011002345678.,Số tài khoản là không không một một không không hai ba bốn năm sáu bảy tám.,Số tài khoản là không không một một không không hai ba bốn năm sáu bảy tám .,Số tài khoản là không không một một không không hai ba bốn năm sáu bảy tám.
location_route_010,ALLEY_NUMBER,systems disagree,Rẽ vào ngõ 8 ở bên phải.,Rẽ vào ngõ tám ở bên phải.,Rẽ vào ngõ tám ở bên phải .,Rẽ vào ngõ tám ở bên phải.
location_route_011,BUS_ROUTE,systems disagree,Tôi đi xe buýt số 32.,Tôi đi xe buýt số ba mươi hai.,Tôi đi xe buýt số ba mươi hai .,Tôi đi xe buýt số ba mươi hai.
location_route_012,BUS_ROUTE,systems disagree,Xe buýt số 105 sắp tới.,Xe buýt số một trăm linh năm sắp tới.,Xe buýt số một trăm linh năm sắp tới .,Xe buýt số một trăm linh năm sắp tới.
